"","Ticker","SEC_Company_ID"
"2178","HES",4447
"2182","AN",350698
"2190","DST",714603
"2191","BJRI",1013488
"2192","PLXS",785786
"2195","RESN",1579910
"2199","BAC",70858
"2200","COTY",1024305
"2201","WWE",1091907
"2204","BXC",1301787
"2206","CTBI",350852
"2211","IBTX",1564618
"2225","PRGX",1007330
"2226","PBFX",1582568
"2232","GOGO",1537054
"2234","SYKE",1010612
"2235","TUES",878726
"2236","FMNB",709337
"2237","ABAX",881890
"2238","PX",884905
"2242","BOX",1372612
"2244","GLW",24741
"2247","IVR",1437071
"2253","AAN",706688
"2255","DSW",1319947
"2257","ACLS",1113232
"2258","HLIT",851310
"2269","ASFI",1001258
"2270","KTWO",1499807
"2275","LGND",886163
"2276","CIO",1593222
"2277","IEX",832101
"2282","BTU",1064728
"2284","TEGP",1633651
"2287","AMH",1562401
"2297","ALDR",1423824
"2299","USM",821130
"2300","ENV",1337619
"2303","RLGT",1171155
"2304","PESI",891532
"2308","HF",1380509
"2316","PRSS",1117733
"2330","FARO",917491
"2332","ENBL",1591763
"2333","TALN",1047881
"2335","DVA",927066
"2340","SPWH",1132105
"2343","PXLW",1040161
"2344","CRUS",772406
"2346","MNOV",1226616
"2348","WPC",1025378
"2353","PANW",1327567
"2354","ALLY",40729
"2359","WSR",1175535
"2372","MTGE",1516973
"2376","RARE",1515673
"2379","CVTI",928658
"2381","CAG",23217
"2382","AMBR",1314223
"2383","TCFC",855874
"2386","SUP",95552
"2387","LABL",819220
"2390","KLIC",56978
"2398","NXTM",1333170
"2399","CHMG",763563
"2402","ZBH",1136869
"2408","ISDR",843006
"2416","BOKF",875357
"2419","CLI",924901
"2420","WBS",801337
"2433","ALE",66756
"2434","CHCO",726854
"2436","VSAR",1513818
"2437","FOLD",1178879
"2438","PCTI",1057083
"2441","BLUE",1293971
"2442","SNR",1610114
"2444","SO",92122
"2445","PGC",1050743
"2448","ARCH",1037676
"2450","IRWD",1446847
"2452","CFFI",913341
"2454","EXC",1109357
"2456","NCS",883902
"2460","CVG",1062047
"2461","PLXP",1497504
"2463","KFS",1072627
"2465","KMG",1028215
"2468","QUOT",1115128
"2472","ELTP",1053369
"2475","AMNL",8328
"2480","INVE",1036044
"2482","AVDL",1012477
"2486","HTBK",1053352
"2487","EW",1099800
"2488","SBFG",767405
"2489","PNR",77360
"2492","ACET",2034
"2493","TAP",24545
"2494","ACRE",1529377
"2497","MKSI",1049502
"2499","BRG",1442626
"2502","VSTM",1526119
"2506","GBIM",1245104
"2507","OXY",797468
"2508","ITG",920424
"2514","MGM",789570
"2516","FFG",1012771
